folder,image,predicted_fuel_flow,predicted_diluent_flow,expected_fuel_flow,expected_diluent_flow
S5D1150,DSC_5110.JPG,1647.5365431849823,849.8991258652968,1150,500
S5D1150,DSC_5111.JPG,1616.3147963602169,879.6253561919839,1150,500
S5D1150,DSC_5112.JPG,1704.3997025538229,946.5555926023881,1150,500
S5D1150,DSC_5113.JPG,1520.3424900953196,927.20314367217,1150,500
S5D1150,DSC_5114.JPG,1595.5989378695122,898.8363436403088,1150,500
S5D1150,DSC_5115.JPG,1499.1157383610025,865.8319980286833,1150,500
S5D1150,DSC_5116.JPG,1601.0221797844133,876.9286330514587,1150,500
S5D1150,DSC_5117.JPG,1607.1843528229765,864.4079054722915,1150,500
S5D1150,DSC_5118.JPG,1556.4237105999619,870.6804630416045,1150,500
S5D1150,DSC_5119.JPG,1516.8690379926484,915.3917008721546,1150,500
S5D1150,DSC_5120.JPG,1494.178146202914,820.8945672887821,1150,500
S5D1150,DSC_5121.JPG,1566.883148423367,930.9897838921788,1150,500
S5D1150,DSC_5122.JPG,1630.8900987198685,865.6391022065709,1150,500
S5D1150,DSC_5123.JPG,1580.8980150803145,945.5303605128574,1150,500
S5D1150,DSC_5124.JPG,1586.719467875937,878.5093241956147,1150,500
S5D1150,DSC_5125.JPG,1607.431815624037,833.5491650685199,1150,500
S5D1150,DSC_5126.JPG,1539.0866834613716,815.5987962516965,1150,500
S5D1150,DSC_5127.JPG,1606.9330228587423,721.287353591696,1150,500
S5D1150,DSC_5128.JPG,1590.505188949628,817.6253615316236,1150,500
S5D1150,DSC_5129.JPG,1643.0998555840597,809.2332113936,1150,500
S5D1150,DSC_5130.JPG,1654.6101727236346,914.4715421166202,1150,500
S5D1350,DSC_5088.JPG,1584.9246408165964,774.688608438636,1350,500
S5D1350,DSC_5089.JPG,1556.6982613642667,827.1370324734507,1350,500
S5D1350,DSC_5090.JPG,1556.0106548025415,572.3469027011361,1350,500
S5D1350,DSC_5091.JPG,1602.492272063333,738.6280788788245,1350,500
S5D1350,DSC_5092.JPG,1700.9359718221713,771.0546461596005,1350,500
S5D1350,DSC_5093.JPG,1710.285025915411,879.5934909931384,1350,500
S5D1350,DSC_5094.JPG,1660.4609767531147,888.3526477633714,1350,500
S5D1350,DSC_5095.JPG,1627.7498909387032,724.7443071912676,1350,500
S5D1350,DSC_5096.JPG,1660.7425668236574,842.5395149932865,1350,500
S5D1350,DSC_5097.JPG,1707.7318784534546,781.1208556563715,1350,500
S5D1350,DSC_5098.JPG,1692.1970206379265,817.8245190244079,1350,500
S5D1350,DSC_5099.JPG,1574.9136780846566,649.6901951610798,1350,500
S5D1350,DSC_5100.JPG,1751.3778403987817,807.3069464863584,1350,500
S5D1350,DSC_5101.JPG,1666.7074076141907,786.2974390310137,1350,500
S5D1350,DSC_5102.JPG,1665.0913611122633,766.335789774651,1350,500
S5D1350,DSC_5103.JPG,1427.8597127283842,467.1826210635927,1350,500
S5D1350,DSC_5104.JPG,1675.4722171107169,826.9980256573745,1350,500
S5D1350,DSC_5105.JPG,1642.0952663892895,774.7542593850449,1350,500
S5D1350,DSC_5106.JPG,1677.9872275717898,801.3034248362565,1350,500
S5D1350,DSC_5107.JPG,1664.5592252027382,760.0547090601403,1350,500
S5D1350,DSC_5108.JPG,1683.6953029844117,815.7413373319814,1350,500
S5D900,DSC_5132.JPG,1649.0902160873338,1066.018132160545,900,500
S5D900,DSC_5133.JPG,1636.0791188578478,1080.7861744802576,900,500
S5D900,DSC_5134.JPG,1637.5572127785417,1007.9561942356777,900,500
S5D900,DSC_5135.JPG,1564.181845841389,989.2528680437099,900,500
S5D900,DSC_5136.JPG,1662.1624038023474,1013.0153513978839,900,500
