epoch,train_loss,val_loss,val_mape(%),elapsed(s),lr
1,652715.4435240964,676685.3522727273,98.55772744525562,345.16783452033997,0.0001
2,626359.1170933734,632786.0625,95.0714723630385,349.6021406650543,0.0001
3,581519.515436747,587060.4517045454,91.02032509717074,345.1835777759552,0.0001
4,521573.8290662651,503747.16761363635,83.07029442353682,348.57544922828674,0.0001
5,451861.3768825301,436294.59375,77.11802991953763,349.0678479671478,0.0001
6,378011.7603539157,388348.88920454547,69.06154318289323,346.50953483581543,0.0001
7,304197.5237198795,266179.50142045453,52.18501632863825,347.9600410461426,0.0001
8,235126.58386671686,208036.84801136365,45.125673575834796,349.0035283565521,0.0001
9,176037.0262612952,138213.8856534091,39.575381712480024,347.4477231502533,0.0001
10,131464.34130271085,109824.26065340909,36.67739142071117,348.7063694000244,0.0001
11,96658.04993411145,80522.23011363637,34.125155345960096,348.66205763816833,0.0001
12,72475.25856551205,55755.156782670456,35.99824837662957,348.6242196559906,0.0001
13,54857.457313629515,50799.913529829544,35.30706763267517,346.35365080833435,0.0001
14,47307.01899002259,43167.334517045456,39.38695300709117,347.9223461151123,0.0001
15,39812.956395896086,37432.36629971591,33.88213948770003,346.3090922832489,0.0001
16,33963.29901637801,32744.492897727272,33.161359619010575,346.4718508720398,0.0001
17,33252.92147496235,35350.96058238636,30.890128151936963,346.9106435775757,0.0001
18,31257.73701054217,35205.19691051136,32.9317260872234,349.19660663604736,0.0001
19,30661.992775790663,33224.77858664773,30.05089434710416,343.6947681903839,0.0001
20,28883.02126082455,32959.49129971591,34.898071668364786,344.9492256641388,0.0001
21,28252.23719879518,29853.70294744318,30.91121952642094,348.85750222206116,5e-05
22,28159.226574265813,30044.295987215908,30.534018034284767,346.9249095916748,5e-05
23,28625.771625564757,30078.772727272728,30.250156196680937,344.58217310905457,5e-05
24,27474.77934393825,30068.494850852272,29.896139285781164,347.32885217666626,5e-05
25,26945.153637989457,29587.59588068182,31.423735076730903,352.7078528404236,5e-05
26,27375.150884789156,30363.344460227272,31.24709725379944,345.95148515701294,5e-05
27,25706.69210043298,29841.79705255682,30.004423314874824,344.1817488670349,5e-05
28,26075.836172816264,29509.701171875,30.863839116963472,346.27417373657227,5e-05
29,26693.86616387425,29428.440696022728,30.82160624590787,345.37422347068787,5e-05
30,25440.469632435994,29572.307173295456,30.67023903131485,344.5905704498291,5e-05
31,25434.879118034638,32003.875,28.8974943486127,344.0915470123291,5e-05
32,25354.891083866718,29306.8359375,30.03908937627619,345.3401873111725,5e-05
33,25091.763507153613,30517.102272727272,29.822132939642128,342.9563343524933,5e-05
34,24772.57088902485,29972.079723011364,29.810515452514995,344.39671897888184,5e-05
35,24869.803546216113,29329.298117897728,30.19731342792511,346.93514585494995,5e-05
36,24541.529896931475,29121.603515625,29.82734048908407,344.5620012283325,5e-05
37,24345.44874811747,30057.609019886364,28.971612724390898,344.52318477630615,5e-05
38,24347.57801910768,28913.883345170456,29.922066899863157,345.3659038543701,5e-05
39,24081.74663497741,28764.577414772728,30.5285858837041,346.1700885295868,5e-05
40,24187.64839043675,28457.830965909092,30.505144867030058,344.8675503730774,5e-05
41,24150.686064570782,28221.221058238636,29.51755632053722,345.4099202156067,5e-05
42,24093.090690888555,28653.527698863636,28.794127431782808,346.1128578186035,5e-05
43,23756.96130224021,28659.765625,28.981185365806926,345.5494964122772,5e-05
44,23682.461937594126,27900.5625,29.05165593732487,347.10652899742126,5e-05
45,22993.42848738705,27495.114346590908,29.313279417428102,343.40743231773376,5e-05
46,22769.612398814006,26986.618785511364,28.388833457773384,345.2719042301178,5e-05
47,22492.87097609187,26710.800337357956,27.79824964024804,343.50216150283813,5e-05
48,21627.956948889307,25960.693270596592,27.755516090176325,345.0307836532593,5e-05
49,21418.64090737952,25059.504172585228,27.850384468382057,343.41769647598267,5e-05
50,20565.319900696537,24727.329456676136,26.9321163946932,344.7874553203583,5e-05
51,20433.86758753765,23253.963512073864,27.380853214047175,345.0767958164215,5e-05
52,20006.399602315512,22803.294300426136,26.432537490671333,345.2688374519348,5e-05
53,18865.9583607869,21576.60724431818,25.752259384502064,346.74137139320374,5e-05
54,17954.222397402107,20765.924094460228,24.804347347129475,345.13219571113586,5e-05
55,17141.9103327372,20243.750710227272,24.530384621836923,345.3203272819519,5e-05
56,16623.688129471007,18745.188920454544,23.32547063177282,344.1072781085968,5e-05
57,16023.478403849775,18011.358043323864,23.66169582713734,347.26865458488464,5e-05
58,14946.355045180722,16309.922318892046,22.22354168241674,345.0162043571472,5e-05
59,13673.502523766943,16165.26846590909,21.59291559999639,390.3531060218811,5e-05
60,13142.408556099397,14726.005237926136,20.1513795690103,348.4746193885803,5e-05
61,11787.205331089985,13729.319158380682,19.0448212352666,344.62154364585876,5e-05
62,11141.260671592621,12425.098810369318,18.528788875449788,344.5371243953705,5e-05
63,9947.419021790287,10766.521706321022,17.66269796273925,343.4881670475006,5e-05
64,9006.670798428087,10098.495383522728,16.51198769157583,343.9636957645416,5e-05
65,9136.69237398814,8837.781516335228,16.13756011832844,343.17423367500305,5e-05
66,7812.4041674510545,8604.296431107954,15.380506420677358,344.4467840194702,5e-05
67,7302.815082596009,7266.910333806818,14.190043983134357,343.46030354499817,5e-05
68,6708.523284544428,6486.490212180398,13.457368788394062,341.7051000595093,5e-05
69,6099.154605727598,7491.250355113636,13.103450563820926,344.19189858436584,5e-05
70,6315.74700854198,7149.284712357955,12.968610972166061,344.364376783371,5e-05
