Training started
Model: DenseNet121
Device: cpu
Batch size: 16, Epochs: 70, LR: 0.0001

Epoch 46/70 - Train Loss: 22769.6124, Val Loss: 26986.6188, Val MAPE: 28.39%, Time: 345.3s, LR: 5.00e-05
Epoch 47/70 - Train Loss: 22492.8710, Val Loss: 26710.8003, Val MAPE: 27.80%, Time: 343.5s, LR: 5.00e-05
Epoch 48/70 - Train Loss: 21627.9569, Val Loss: 25960.6933, Val MAPE: 27.76%, Time: 345.0s, LR: 5.00e-05
Epoch 49/70 - Train Loss: 21418.6409, Val Loss: 25059.5042, Val MAPE: 27.85%, Time: 343.4s, LR: 5.00e-05
Epoch 50/70 - Train Loss: 20565.3199, Val Loss: 24727.3295, Val MAPE: 26.93%, Time: 344.8s, LR: 5.00e-05
Epoch 51/70 - Train Loss: 20433.8676, Val Loss: 23253.9635, Val MAPE: 27.38%, Time: 345.1s, LR: 5.00e-05
Epoch 52/70 - Train Loss: 20006.3996, Val Loss: 22803.2943, Val MAPE: 26.43%, Time: 345.3s, LR: 5.00e-05
Epoch 53/70 - Train Loss: 18865.9584, Val Loss: 21576.6072, Val MAPE: 25.75%, Time: 346.7s, LR: 5.00e-05
Epoch 54/70 - Train Loss: 17954.2224, Val Loss: 20765.9241, Val MAPE: 24.80%, Time: 345.1s, LR: 5.00e-05
Epoch 55/70 - Train Loss: 17141.9103, Val Loss: 20243.7507, Val MAPE: 24.53%, Time: 345.3s, LR: 5.00e-05
Epoch 56/70 - Train Loss: 16623.6881, Val Loss: 18745.1889, Val MAPE: 23.33%, Time: 344.1s, LR: 5.00e-05
Epoch 57/70 - Train Loss: 16023.4784, Val Loss: 18011.3580, Val MAPE: 23.66%, Time: 347.3s, LR: 5.00e-05
Epoch 58/70 - Train Loss: 14946.3550, Val Loss: 16309.9223, Val MAPE: 22.22%, Time: 345.0s, LR: 5.00e-05
Epoch 59/70 - Train Loss: 13673.5025, Val Loss: 16165.2685, Val MAPE: 21.59%, Time: 390.4s, LR: 5.00e-05
Epoch 60/70 - Train Loss: 13142.4086, Val Loss: 14726.0052, Val MAPE: 20.15%, Time: 348.5s, LR: 5.00e-05
Epoch 61/70 - Train Loss: 11787.2053, Val Loss: 13729.3192, Val MAPE: 19.04%, Time: 344.6s, LR: 5.00e-05
Epoch 62/70 - Train Loss: 11141.2607, Val Loss: 12425.0988, Val MAPE: 18.53%, Time: 344.5s, LR: 5.00e-05
Epoch 63/70 - Train Loss: 9947.4190, Val Loss: 10766.5217, Val MAPE: 17.66%, Time: 343.5s, LR: 5.00e-05
Epoch 64/70 - Train Loss: 9006.6708, Val Loss: 10098.4954, Val MAPE: 16.51%, Time: 344.0s, LR: 5.00e-05
Epoch 65/70 - Train Loss: 9136.6924, Val Loss: 8837.7815, Val MAPE: 16.14%, Time: 343.2s, LR: 5.00e-05
Epoch 66/70 - Train Loss: 7812.4042, Val Loss: 8604.2964, Val MAPE: 15.38%, Time: 344.4s, LR: 5.00e-05
Epoch 67/70 - Train Loss: 7302.8151, Val Loss: 7266.9103, Val MAPE: 14.19%, Time: 343.5s, LR: 5.00e-05
Epoch 68/70 - Train Loss: 6708.5233, Val Loss: 6486.4902, Val MAPE: 13.46%, Time: 341.7s, LR: 5.00e-05
Epoch 69/70 - Train Loss: 6099.1546, Val Loss: 7491.2504, Val MAPE: 13.10%, Time: 344.2s, LR: 5.00e-05
Epoch 70/70 - Train Loss: 6315.7470, Val Loss: 7149.2847, Val MAPE: 12.97%, Time: 344.4s, LR: 5.00e-05

Training complete.
