epoch,train_loss,val_loss,val_mape(%),val_mape_out1(%),val_mape_out2(%),elapsed(s),lr
1,0.2719002379530884,0.1301035193557089,16.02624309333888,10.92121038924564,21.131274916908957,310.09253692626953,0.0001
2,0.1552653690149267,0.10270037569782951,15.27536091479388,9.46155705235221,21.089165048165757,301.6461193561554,0.0001
3,0.12860185096421875,0.10969239642674272,13.00995952703736,9.98016277497465,16.03975607590242,326.7526926994324,0.0001
4,0.11663348748382316,0.10238602418791164,11.402364007451316,8.664448085156353,14.140280200676484,295.84844756126404,0.0001
5,0.10506135131041687,0.08845037916167216,10.438161952929063,7.830306311899965,13.046017424626784,296.3685767650604,0.0001
6,0.0930367264088737,0.05809069170870564,10.024879805066368,6.186427142132412,13.863331960006194,332.51600670814514,0.0001
7,0.09492156133953347,0.05288564261387695,8.5010749372569,6.133899092674255,10.868250714106994,348.35047912597656,0.0001
8,0.08430346725396363,0.07297367263923991,11.00769503550096,7.138309898701581,14.877080104567789,341.3891203403473,0.0001
9,0.08171627019722778,0.07678792761130766,9.467606111006303,7.830861447886988,11.104350774125619,304.0557744503021,0.0001
10,0.0761902704610523,0.05137014643035152,10.185961120507935,5.542718229646033,14.829203757372769,320.02724289894104,0.0001
11,0.06708327727953353,0.04143978790803389,9.154936569658192,5.600730160420591,12.70914270796559,317.3795738220215,0.0001
12,0.060530835908489775,0.0518122347579761,9.552362358028239,6.208460066806187,12.896265089511871,363.1841289997101,0.0001
13,0.05826463644583541,0.07067512178962881,9.809311547062615,7.4216150424697185,12.197008458050815,340.76487851142883,0.0001
14,0.0547286201245993,0.032087898813188076,6.9215322421355685,4.4961859895424405,9.346878020600839,301.45959758758545,0.0001
15,0.04933098782168095,0.09520356136966836,12.186052040620284,10.154902799562974,14.217200976881115,310.22986459732056,0.0001
16,0.05094174385429865,0.034827502190389416,8.963982794772495,5.19996185533025,12.728003683415325,310.8514862060547,0.0001
17,0.0443231101899621,0.04197265648029067,7.5251409614628,5.826084281910549,9.22419781034643,302.21531319618225,0.0001
18,0.04302236840622612,0.050179557959464466,8.269666101444852,5.985631167211316,10.553701797669584,275.3980004787445,0.0001
19,0.03428352885621499,0.023205831308256496,6.669385629621419,3.635676611553539,9.703094546090473,274.3196976184845,5e-05
20,0.03151846208037382,0.02763054621490565,6.390339881181717,4.416672529822046,8.364007147875698,273.7897493839264,5e-05
21,0.028999595622341317,0.02937251930548386,6.322575157338922,4.009905169633302,8.63524516197768,274.84504437446594,5e-05
22,0.02889847244887826,0.04489658883010799,7.3209320957010435,5.218503759665922,9.423360601067543,273.188538312912,5e-05
23,0.02760527597134372,0.023753851567479698,5.63683956861496,3.8611959666013718,7.412483441558751,273.49347710609436,5e-05
24,0.024672731420541383,0.02240008454431187,5.645231868733059,3.5950265486132014,7.6954372227191925,274.1420187950134,2.5e-05
25,0.02459739746682974,0.024905905804850838,5.063943463292989,3.8057878613471985,6.322098929773677,274.0907235145569,2.5e-05
26,0.022805543919374425,0.02059648964892734,4.820343818176876,3.351574103263291,6.289113448424772,273.16071605682373,2.5e-05
27,0.021524359438433706,0.02218304295092821,5.852772329341282,3.475505012002858,8.23003968054598,273.64708065986633,2.5e-05
28,0.02145445362541331,0.019468563820489428,4.890762675892224,3.396226702765985,6.385298649018462,273.4366328716278,2.5e-05
29,0.02082622141005045,0.024549882477996023,5.010916445065628,3.85832991451025,6.163503297350624,272.61318612098694,2.5e-05
30,0.02120324217501175,0.01921375392174179,5.452931740067222,3.40808474204757,7.4977788396857,273.3129367828369,2.5e-05
