epoch,train_loss,val_loss,val_mape(%),val_mape_out1(%),val_mape_out2(%),elapsed(s),lr
31,0.02043677164039698,0.022183943963186306,5.367792702533982,3.4776195375756784,7.257965816692873,273.0594606399536,2.5e-05
32,0.01970276064856584,0.01830984554676847,4.7311387956142426,3.1620076434178785,6.300269913944331,272.92242097854614,2.5e-05
33,0.019122923875833493,0.019426672042093494,4.873280938376079,3.212715871632099,6.533846360715953,272.43943977355957,2.5e-05
34,0.02104756958692907,0.020107456313615494,4.83751908283342,3.4461342983625154,6.228903714906086,273.01118087768555,2.5e-05
35,0.018494617609105195,0.018240876072509724,4.618106528439305,3.288363851606846,5.94784945926883,273.3947525024414,2.5e-05
36,0.017943371704454165,0.0190167938020419,4.960873892361468,3.2192667946219444,6.702480736103925,272.70291113853455,2.5e-05
37,0.018243454643581288,0.02114264184439724,4.914507235993038,3.4376821226694365,6.3913324339823285,272.72726678848267,2.5e-05
38,0.01982193744842367,0.02299337482757189,4.945585114712065,3.571330281821164,6.31983984600414,273.2076609134674,2.5e-05
39,0.018835472391850978,0.02536718708209016,5.251755243675276,3.918927467682145,6.5845832567323335,274.27710604667664,2.5e-05
40,0.017570181626332813,0.024734774773771114,5.215060677040706,3.90144425698302,6.528677283362909,272.884428024292,1.25e-05
41,0.01699401288439172,0.02075371095402674,4.651742259209806,3.4478337927298113,5.855650674890389,273.3915927410126,1.25e-05
42,0.016378999727003903,0.019040384075858376,4.736476764082909,3.3266417174176737,6.146311929280108,272.4911198616028,1.25e-05
43,0.016954040278243012,0.019750034563582052,4.392121884633194,3.460987826639956,5.323256061158397,272.06562423706055,1.25e-05
44,0.014984494120062116,0.02116736206649379,4.752085103907368,3.5353979095816612,5.96877241676504,272.62021112442017,6.25e-06
45,0.015790601906153452,0.019131745465777138,4.28644327277487,3.2810139723799447,5.29187269170176,272.8916530609131,6.25e-06
46,0.015483735976404095,0.019537125883454628,4.302951371805235,3.2808854329315102,5.325017192146995,273.49394941329956,6.25e-06
47,0.02059993666809905,0.018065361009741373,4.505976272577589,3.1972288408062677,5.814723907546564,272.3129894733429,6.25e-06
48,0.015939299308930534,0.017829560632394117,4.402107118882916,3.1972338022156195,5.606980554082177,272.30077743530273,6.25e-06
49,0.01528014388799398,0.01745309524068778,4.535091973163865,3.1337237832221114,5.936460264704444,273.6783957481384,6.25e-06
50,0.01637229245963944,0.017776205162094397,4.7271851958198985,3.1412226740609515,6.313147632913156,272.28596115112305,6.25e-06
51,0.014486363741109171,0.017324666407975284,4.183091866699132,3.13666955652562,5.229514159939506,273.2473168373108,6.25e-06
52,0.015245497540896198,0.017876695926216515,4.072080027650704,3.0988971787420185,5.045262859626249,271.82889556884766,6.25e-06
53,0.015342838708760149,0.01771781483495777,4.113668897612528,3.0401792377233505,5.1871586252342565,271.54118943214417,6.25e-06
54,0.013805781934320568,0.017427870072424412,4.457240907306021,3.106723488731818,5.807758224281398,271.7167510986328,6.25e-06
55,0.014849925234195697,0.019846926400945944,4.786274853077802,3.375086611644788,6.197463043711402,272.29235768318176,6.25e-06
56,0.013932718620467258,0.018251605628227644,4.214049130678177,3.1915500082752923,5.236548422412439,273.0671730041504,3.125e-06
57,0.014453358448907194,0.01871420375325463,4.620695960792628,3.2255861569534647,6.015805663032965,271.42308235168457,3.125e-06
58,0.015843849225216602,0.017394754273647613,4.286773519759828,3.087858059866862,5.485689148984172,272.80600571632385,3.125e-06
59,0.014129163299025181,0.01854879286309535,4.681770672852343,3.1817381524226884,6.181802905418656,272.4921004772186,3.125e-06
60,0.014515429381729967,0.01821048701690002,4.1294523091478785,3.135846961628307,5.123057521202347,272.1271300315857,1.5625e-06
61,0.013906175638156304,0.018358945253897797,4.538483054123142,3.1880079683932387,5.8889583938501096,271.80174946784973,1.5625e-06
62,0.014222725507724717,0.018126053523949602,4.532018642533909,3.09908293526281,5.964954536069523,272.0786609649658,1.5625e-06
63,0.01385912378262504,0.01813959867947481,4.322591153058139,3.187233277342536,5.457948977974328,271.06672167778015,1.5625e-06
64,0.013292433542524835,0.018529227765446358,4.567475752397017,3.2866393639282747,5.848312106999484,271.3564147949219,7.8125e-07
65,0.014796685158129198,0.018128680615601214,4.269859787415375,3.168105232444676,5.3716140883890064,272.1733510494232,7.8125e-07
