Training started
Model: DenseNet121
Device: cpu
Dataset: cropped_images
Batch size: 16, Epochs: 70, LR: 0.0001

Epoch 46/70 - Train Loss: 22503.9176, Val Loss: 26479.8601, Val MAPE: 29.23%, Time: 267.4s, LR: 1.25e-05
Epoch 47/70 - Train Loss: 22593.2949, Val Loss: 26144.6378, Val MAPE: 28.93%, Time: 267.2s, LR: 1.25e-05
Epoch 48/70 - Train Loss: 22214.8045, Val Loss: 26189.7761, Val MAPE: 28.86%, Time: 267.0s, LR: 1.25e-05
Epoch 49/70 - Train Loss: 22047.5404, Val Loss: 26365.7289, Val MAPE: 28.19%, Time: 268.0s, LR: 1.25e-05
Epoch 50/70 - Train Loss: 22406.5490, Val Loss: 26799.9052, Val MAPE: 28.85%, Time: 267.5s, LR: 1.25e-05
Epoch 51/70 - Train Loss: 22190.6307, Val Loss: 26970.6092, Val MAPE: 29.60%, Time: 266.8s, LR: 1.25e-05
Epoch 52/70 - Train Loss: 21902.9174, Val Loss: 26654.3810, Val MAPE: 28.83%, Time: 267.8s, LR: 6.25e-06
Epoch 53/70 - Train Loss: 21851.3305, Val Loss: 26659.6735, Val MAPE: 29.02%, Time: 267.3s, LR: 6.25e-06
Epoch 54/70 - Train Loss: 21945.5443, Val Loss: 26951.4279, Val MAPE: 29.68%, Time: 267.6s, LR: 6.25e-06
Epoch 55/70 - Train Loss: 21700.4093, Val Loss: 26499.0836, Val MAPE: 29.23%, Time: 267.5s, LR: 6.25e-06
Epoch 56/70 - Train Loss: 21397.4191, Val Loss: 25761.0788, Val MAPE: 28.72%, Time: 267.5s, LR: 3.13e-06
Epoch 57/70 - Train Loss: 22043.0168, Val Loss: 25485.7356, Val MAPE: 28.60%, Time: 266.8s, LR: 3.13e-06
Epoch 58/70 - Train Loss: 21507.7959, Val Loss: 25806.3311, Val MAPE: 28.95%, Time: 268.0s, LR: 3.13e-06
Epoch 59/70 - Train Loss: 21568.3171, Val Loss: 25924.2525, Val MAPE: 28.94%, Time: 267.9s, LR: 3.13e-06
Epoch 60/70 - Train Loss: 21691.9108, Val Loss: 25788.1169, Val MAPE: 28.61%, Time: 267.7s, LR: 3.13e-06
Epoch 61/70 - Train Loss: 21498.6328, Val Loss: 25837.8145, Val MAPE: 28.86%, Time: 266.5s, LR: 3.13e-06
Epoch 62/70 - Train Loss: 21368.4373, Val Loss: 25685.4608, Val MAPE: 28.75%, Time: 267.6s, LR: 1.56e-06
Epoch 63/70 - Train Loss: 21596.3687, Val Loss: 25879.1268, Val MAPE: 28.52%, Time: 266.3s, LR: 1.56e-06
Epoch 64/70 - Train Loss: 21381.2499, Val Loss: 25828.9732, Val MAPE: 29.02%, Time: 266.8s, LR: 1.56e-06
Epoch 65/70 - Train Loss: 21371.6492, Val Loss: 25740.8452, Val MAPE: 28.85%, Time: 266.5s, LR: 1.56e-06
Epoch 66/70 - Train Loss: 21395.7458, Val Loss: 25808.1587, Val MAPE: 28.97%, Time: 267.4s, LR: 7.81e-07
Epoch 67/70 - Train Loss: 21391.5856, Val Loss: 26182.1768, Val MAPE: 28.67%, Time: 266.4s, LR: 7.81e-07
Epoch 68/70 - Train Loss: 21349.1032, Val Loss: 25751.6039, Val MAPE: 28.88%, Time: 267.1s, LR: 7.81e-07
Epoch 69/70 - Train Loss: 21388.2771, Val Loss: 25689.9412, Val MAPE: 28.98%, Time: 266.7s, LR: 7.81e-07
Epoch 70/70 - Train Loss: 21376.2889, Val Loss: 25785.2997, Val MAPE: 28.75%, Time: 266.8s, LR: 3.91e-07

Training complete.
