epoch,train_loss,val_loss,val_mape(%),elapsed(s),lr
1,653223.3407379518,678173.7159090909,98.62328334288163,312.9641127586365,0.0001
2,629394.703313253,656563.625,97.19559929587625,288.54498314857483,0.0001
3,588344.1939006024,616671.4943181818,94.48070688681169,269.6991055011749,0.0001
4,533652.8019578314,533723.6335227273,86.61571578546004,269.55352234840393,0.0001
5,467854.0651355422,476978.5539772727,81.9093259898099,269.33949995040894,0.0001
6,394942.9902108434,404249.70738636365,74.80121471665122,269.191401720047,0.0001
7,323447.8004518072,260499.74431818182,53.41189070181414,268.6836178302765,0.0001
8,257754.8576807229,204188.30539772726,43.63306489857761,270.05418491363525,0.0001
9,197330.27701430724,183114.35085227274,43.43906370076267,268.55619192123413,0.0001
10,148842.710749247,125482.5078125,37.31304786422036,268.5636610984802,0.0001
11,110603.5961502259,137371.6875,37.863025069236755,268.2350037097931,0.0001
12,83553.92140436747,67158.34836647728,38.48867145451633,268.6554398536682,0.0001
13,63825.87410579819,52977.110795454544,36.506718126210295,267.84703254699707,0.0001
14,50370.31567676958,49506.13636363636,34.588224914940916,267.9039430618286,0.0001
15,42512.33170180723,39209.91051136364,33.70567506009882,269.2065043449402,0.0001
16,36182.93684111446,34307.35813210227,32.19861930066889,268.1641728878021,0.0001
17,31916.72797439759,31751.088423295456,32.17471255497499,268.53691720962524,0.0001
18,30355.012424698794,29842.704367897728,32.514360411600634,269.0417912006378,0.0001
19,28750.6566029744,30104.932883522728,33.0690551887859,268.4382531642914,0.0001
20,28937.330336972893,28909.15642755682,31.03605319153179,267.60080432891846,0.0001
21,27788.822606833583,30038.87482244318,29.660326919772405,269.00985765457153,0.0001
22,27655.45663121235,30451.181640625,29.163293269547548,268.87964153289795,0.0001
23,27271.265307323043,30940.987926136364,32.46776366775686,267.73184752464294,0.0001
24,27229.07721903238,30708.836647727272,30.169099162925374,268.35736656188965,0.0001
25,26310.33919663027,29242.300071022728,30.590120228854094,268.80974078178406,5e-05
26,26239.21039627259,31003.92205255682,31.61467097022317,268.4689106941223,5e-05
27,25618.578830948794,29708.842151988636,31.412575326182623,267.8071746826172,5e-05
28,25145.888530685243,29580.627663352272,31.344511563127693,269.43876099586487,5e-05
29,24661.68917074548,29261.239524147728,30.575440146706324,267.57923412323,2.5e-05
30,24433.45128953313,28728.169389204544,30.348265171051025,268.1298358440399,2.5e-05
31,24537.470220726656,29303.748579545456,31.348358636552636,269.02123737335205,2.5e-05
32,24473.295886671687,29268.261186079544,30.80352409319444,268.99966835975647,2.5e-05
33,24113.54387471762,28671.709517045456,30.751889537681233,267.7999680042267,2.5e-05
34,23732.750564759037,28909.634232954544,31.00916174325076,268.0359399318695,2.5e-05
35,23870.309405591113,28050.133167613636,29.988186874172907,269.1493661403656,2.5e-05
36,23762.530402861445,29002.307173295456,30.457322705875743,268.52158856391907,2.5e-05
37,23717.097385636294,28250.506924715908,29.967602816495027,268.3681204319,2.5e-05
38,23512.012930628764,28151.471058238636,30.32167431983081,270.51618003845215,2.5e-05
39,23359.007494823043,28074.640092329544,30.248037251559172,267.32556653022766,2.5e-05
40,23006.249976468374,27579.014204545456,29.81467301195318,267.9919843673706,1.25e-05
41,23049.84009083208,27455.583274147728,28.99221588264812,267.3055648803711,1.25e-05
42,22908.95797251506,27418.59392755682,29.66229563409632,268.85303592681885,1.25e-05
43,22760.29774567018,27511.341264204544,29.898852787234564,266.7242212295532,1.25e-05
44,22620.94693618223,27416.920276988636,29.700516841628332,268.4674744606018,1.25e-05
45,22535.839290756776,26416.360795454544,29.310846057805147,267.7621018886566,1.25e-05
46,22503.917580478163,26479.860085227272,29.229528660124,267.4065134525299,1.25e-05
47,22593.294898343374,26144.637784090908,28.931685740297493,267.2042272090912,1.25e-05
48,22214.8045110128,26189.776100852272,28.855388950217854,266.9505772590637,1.25e-05
49,22047.54040380271,26365.728870738636,28.189021078023043,268.0295124053955,1.25e-05
50,22406.548957548945,26799.905184659092,28.847099163315516,267.5492444038391,1.25e-05
51,22190.6306828878,26970.60919744318,29.598063907840032,266.833945274353,1.25e-05
52,21902.917415756776,26654.38103693182,28.831343894655053,267.84742879867554,6.25e-06
53,21851.33047816265,26659.673473011364,29.0211485190825,267.32975149154663,6.25e-06
54,21945.544333584337,26951.42791193182,29.67952557585456,267.6237463951111,6.25e-06
55,21700.409273814006,26499.083629261364,29.23112633553418,267.4623761177063,6.25e-06
56,21397.41906297063,25761.078835227272,28.72267311269587,267.4846656322479,3.125e-06
57,22043.0167780497,25485.735617897728,28.597176345911894,266.7836768627167,3.125e-06
58,21507.795910203313,25806.331143465908,28.949185799468648,267.9581022262573,3.125e-06
59,21568.317112198794,25924.252485795456,28.93791835416447,267.9215898513794,3.125e-06
60,21691.910756306475,25788.116921164772,28.60963913527402,267.68998670578003,3.125e-06
61,21498.63277720256,25837.814453125,28.85978547009555,266.52755546569824,3.125e-06
62,21368.437347044426,25685.460848721592,28.749054941264067,267.64528703689575,1.5625e-06
63,21596.368681758282,25879.12677556818,28.51895513859662,266.28149151802063,1.5625e-06
64,21381.24989410768,25828.973188920456,29.018139703707263,266.8049793243408,1.5625e-06
65,21371.6492375753,25740.845170454544,28.85385372421958,266.49449920654297,1.5625e-06
66,21395.74579960467,25808.158735795456,28.969270668246526,267.4374928474426,7.8125e-07
67,21391.585596291417,26182.176846590908,28.67037843574177,266.36129212379456,7.8125e-07
68,21349.10315088479,25751.603870738636,28.8780231367458,267.0700931549072,7.8125e-07
69,21388.27709666792,25689.94122869318,28.979322720657695,266.69037222862244,7.8125e-07
70,21376.288862481175,25785.299715909092,28.753863004120912,266.78963327407837,3.90625e-07
